Confession,Labels
"['From twelve to fifteen\n', '\n', ""I fell in love for the first time when I was twelve years old. Seems strange, right? I always believed in the philosophy that you can fall in love at any age. We were in gym together, he was fourteen but in eighth grade. I liked him and he thought I did, but we never talked about it. I am in band, and for the eighth grade graduation we had to play for the graduates. That graduation night, I realized there was someone that I loved more than him, someone that made me feel amazing inside and that I would do anything to be with. His brother. We had fun together that year; we were the 'little brother and sister' of the gym group and talked a lot. I think he even liked me at a point. For eighth grade I wasn't able to keep in contact with either of them. Freshman year, they were sophomores, I managed to talk to them more, and the younger brother knew that I liked him. We got closer from our talks every day. Come sophomore year, I decided to get off my lazy butt and ask him how he felt about me. Five minutes before I was going to walk up to him, my friend told me that he asked the year before and that he didn't like me that way. Of course, I was upset. I had fallen in love with his brother before, but this was a different kind of love. More genuine. I'm currently working on getting over him, but I still find myself craving the exact words he said, what he looked like when he said it, and so much more. It's things like these that make you feel like you're not good enough. But there was always the possibility that my friend was lying, because a friend of his likes me and he's been trying to set me up with him. It's really hard on me and I don't like to talk about it.""]",0
"['Hope she is doing well\n', '\n', ""Twenty-seven years ago I dumped a girl after a night of kissing on a school trip. I'm sure she felt she was being used, but I really did it because of the age difference (17 and 14). I was cowardly and did not want to be known as a senior who could only get a freshman girlfriend. I rarely spoke to her after that, and wish today that I knew whatever became of her so I could apologize -- not for the kissing, but for the horribly degrading way I just told her to get lost the next day.""]",0
"['stupid\n', '\n', 'I was at work and thought I would be cool and went in a back room to sleep. I set my cell phone to wake me up. The cell phone woke me and I fell back asleep. The next thing I know the supervisor called me on a cell phone to open a door so he could come in (morning). A real dumb mistake. He was nice about it (I think) I have got in trouble before and actually got fired for sleeping. I think I am going down the toilet again as far as trying to better my life.']",0
"['Old Boss\n', 'I used to work for this total dork. The guy would do anything to get ahead, and especially if he could climb over your back to do it. He got transferred, and I sent him a greeting card full of glitter. I wrote in the card, ""hey jerk, I\'m glad you are gone!"" I just wish I could have been there when he opened the card and got pink glitter all over his blue uniform.\n']",0
"['They say marriage is hard work . . . .\n', '\n', 'I think this is a lie people in bad marriages tell themselves to feel better about marrying the wrong person. My marriage is no work at all. School is work. Jobs are work. Family is often work. Marriage is fun. Is everyone else just going along with this myth, or are there really that many bad matches? Or have we accidentally stumbled onto the secret - by waiting to marry until we had enough money to live on, by not having kids? Or is he really doing all the work for over a decade, and I am just taking advantage?']",0
"['Roomate\n', '\n', ""This isn't much of a confession, but I freakin hate my roommate. His is one of those guys that finds some way to annoy me in any way possible. For instance, it is a daily experience to find him snickering at his desk, only to look over at me waiting for me to ask what is so funny. I can usually hold out for about 4 minutes until I give in and he shows me some bit of internet humor that I discovered in the 8th grade. I bought some nice over-ear headphones, I never use them to listen to music, just to ignore what he is doing. Anyway, I could write a lengthy post on everything he does that annoys me (including how he is explaining to me how he needs to moisturize his feet more, and repeatedly asking me if I know a good foot moisturizer), but I don't have the will power to relive every annoyance, and not kill him. I'm moving into a private room in 2 weeks. Now I just wonder what new hell awaits me every morning until then. So the confession part of this, is that he is really a nice guy, but I mess with him all the time, just because I hate him so much. Yesterday I installed a trojan on his computer. Pretty lame confession, but he is such a mongrel idiot, I had to let someone know. Thanks for understanding.""]",0
"['She would hate me.\n', '\n', ""For the longest time I've been trying to get my best friend in the world together with somebody that she really likes, and in the amount of time I've been getting to know him, I think I like him more than she does.""]",0
"['I really did want to commit suicide\n', '\n', 'The majority of my life I suffered from Clinical Depression because I was ignored as a child. When I was 10 I wrote a paper on how I wanted to kill myself but I got my journal mixed up with my school journal. My teacher talked to my parents who in turn asked me if I really wanted to commit suicide. I said no because I was ashamed and immediately they forgot about it and I never got treatment. I really did want to commit suicide and the only person who knows is my sister because she kept asking me about it.']",0
"['this guy hits me\n', '\n', ""this guy in my school always slaps me in the face and runs away. he doesnt slap all that hard, but nobody sticks up for me. i try to slap him back but he runs away before i know what happened. today, he slapped my butt. when the teacher leaves the room, he comes over to me and starts massaging me and rubbing my legs, so i try to kick him. He even tried to kiss me one time. he's annoying, and i'm only thirteen! i'm afraid to tell a teacher.""]",0
"['She left me\n', '\n', 'I met a girl 6 months ago. I fell in love with her. She was the most beautiful girl I had ever seen. I was missing work and getting depressed from thinking about her so much. I was the happiest I had ever been when she asked me out. Since then, I got texts saying she was never ever going to leave me, that she loved me more then anyone shed ever loved before, that she wanted to have me forever. Then she left me for someone else.']",0
